# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX22720573_cds.txt" "SRX22720573.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX22720573.bam
ZMO1_ZMO0184	CP023715.1	173737	173976	+	240	107453
ZMO1_ZMO0186	CP023715.1	174197	175747	+	1551	17651
ZMO1_ZMO0187	CP023715.1	175840	177168	+	1329	35446
ZMO1_ZMO0188	CP023715.1	177747	180113	+	2367	7282
ZMO1_ZMO0189	CP023715.1	180139	181500	-	1362	3521
ZMO1_ZMO0190	CP023715.1	181591	182508	-	918	1612
ZMO1_ZMO0191	CP023715.1	182842	183621	-	780	1732
ZMO1_ZMO0192	CP023715.1	183652	185010	-	1359	2978
ZMO1_ZMO0193	CP023715.1	185346	188084	-	2739	22770
ZMO1_ZMO0195	CP023715.1	188615	189634	+	1020	1942
ZMO1_ZMO0197	CP023715.1	189846	192425	+	2580	4874
ZMO1_ZMO0198	CP023715.1	192536	193663	+	1128	9424
ZMO1_ZMO0199	CP023715.1	193716	194369	-	654	5481
ZMO1_ZMO0200	CP023715.1	194535	195560	-	1026	5199
ZMO1_ZMO0201	CP023715.1	195587	196171	-	585	4963
ZMO1_ZMO0202	CP023715.1	197164	199056	+	1893	12644
ZMO1_ZMO0203	CP023715.1	199098	199547	-	450	770
ZMO1_ZMO0204	CP023715.1	199614	200246	+	633	924
ZMO1_ZMO0205	CP023715.1	200250	201173	-	924	3550
ZMO1_ZMO0206	CP023715.1	201170	202363	-	1194	10687
ZMO1_ZMO0207	CP023715.1	202348	203391	-	1044	11000
ZMO1_ZMO0208	CP023715.1	203483	204091	-	609	13265
ZMO1_ZMO0209	CP023715.1	204284	204553	-	270	42877
ZMO1_ZMO0211	CP023715.1	204686	205060	-	375	46358
ZMO1_ZMO0213	CP023715.1	205298	208678	-	3381	466
ZMO1_ZMO0214	CP023715.1	208984	210438	-	1455	1537
ZMO1_ZMO0215	CP023715.1	210663	211313	+	651	9163
