Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity	reads_aligned_percentage	not_aligned_percentage	not_aligned	reads_processed	reads_aligned	per_base_sequence_content	per_sequence_quality_scores	overrepresented_sequences	per_sequence_gc_content	Sequences flagged as poor quality	avg_sequence_length	sequence_length_distribution	sequence_duplication_levels	Total Sequences	basic_statistics	Filename	per_base_sequence_quality	adapter_content	%GC	median_sequence_length	per_tile_sequence_quality	File type	Total Bases	per_base_n_content	total_deduplicated_percentage	Encoding	Sequence length	percent_trimmed	r_written	quality_trimmed	r_processed	cutadapt_version	r_with_adapters	bp_written	bp_processed	se_antisense	failed	pe_antisense	se_sense	pe_sense
Kiley_A_WT_Anaerobic_B	0	0	2551803	0	0	0	50037538	76.26938685175453	0	0	2790731	0	7083229	65606320	0	3102242	40777	95.27	4.73	1551121.0	32803160.0	31252039.0	fail	pass	warn	warn	0.0	134.65767898580503	warn	fail	32803160.0	pass	Kiley_A_WT_Anaerobic_B_val_2.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	4.4 Gbp	pass	9.340696416531546	Sanger / Illumina 1.9	20-150	10.054319656650186	32846268	6573021	32846268	4.4	19655766	4431569883	4926940200		0.4489	0.5314		0.0197
Kiley_A_WT_Anaerobic_C	0	0	2391990	0	0	0	45366315	80.26859732245947	0	0	2683299	0	3933069	56518136	0	2103726	39737	96.28	3.72	1051863.0	28259068.0	27207205.0	fail	pass	warn	warn	0.0	136.274897530237	warn	fail	28259068.0	pass	Kiley_A_WT_Anaerobic_C_val_2.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	3.8 Gbp	pass	8.534288326404518	Sanger / Illumina 1.9	20-150	9.02645217016908	28293671	3887172	28293671	4.4	16802742	3860963448	4244050650		0.4203	0.5568		0.0229
Kiley_B_Dfur_-O2_A	0	0	395227	0	0	0	6881332	83.47449680565634	0	0	643721	0	1858	8243634	0	316702	4794	96.16	3.84	158351.0	4121817.0	3963466.0	fail	pass	warn	warn	0.0	144.41732032256647	warn	fail	4121817.0	pass	Kiley_B_Dfur_-O2_A_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	597 Mbp	pass	9.369557929756496	Sanger / Illumina 1.9	20-150	0.344533336778171	4123705	504709	4123705	4.4	1126781	597093108	599157405		0.2414	0.7483		0.0103
Kiley_B_Dfur_-O2_B	0	0	34485	0	0	0	97409	1.138095476219741	0	0	8027514	0	0	8558948	0	399490	50	95.33	4.67	199745.0	4279474.0	4079729.0	fail	pass	warn	warn	0.0	144.3245060023732	warn	fail	4279474.0	pass	Kiley_B_Dfur_-O2_B_val_2.fq.gz	pass	pass	47.0	150	pass	Conventional base calls	619.5 Mbp	pass	8.528900967559707	Sanger / Illumina 1.9	20-150	0.3351758344118545	4281130	446794	4281130	4.4	1185740	619562343	621645950		0.0803	0.199		0.7207
Kiley_B_Dfur_-O2_C	0	0	358874	0	0	0	6172480	83.05636575114416	0	0	575642	0	1755	7431676	0	318522	4403	95.71	4.29	159261.0	3715838.0	3556577.0	fail	pass	warn	warn	0.0	144.10055093898066	warn	fail	3715838.0	pass	Kiley_B_Dfur_-O2_C_val_2.fq.gz	pass	pass	47.0	150	pass	Conventional base calls	537 Mbp	pass	11.55562874468583	Sanger / Illumina 1.9	20-150	0.3142549028020325	3717905	156503	3717905	4.4	1105377	537327760	539021662		0.4567	0.4522		0.0911
Kiley_B_DrsuR_-O2_A	0	0	365994	0	0	0	6267028	84.41756049830789	0	0	509109	0	1567	7423844	0	275718	4428	96.29	3.71	137859.0	3711922.0	3574063.0	fail	pass	warn	warn	0.0	143.76245890942752	warn	fail	3711922.0	pass	Kiley_B_DrsuR_-O2_A_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	535.1 Mbp	pass	9.37990389845188	Sanger / Illumina 1.9	20-150	0.3282097769928449	3713426	378066	3713426	4.4	987309	535226732	536989183		0.5864	0.3754		0.0382
Kiley_B_DrsuR_-O2_B	0	0	403020	0	0	0	6920037	84.546342877082	0	0	559036	0	1745	8184904	0	295934	5132	96.38	3.62	147967.0	4092452.0	3944485.0	fail	pass	warn	warn	0.0	143.9902325060868	warn	fail	4092452.0	pass	Kiley_B_DrsuR_-O2_B_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	591 Mbp	pass	9.61129192273934	Sanger / Illumina 1.9	20-150	0.3350351593109275	4094233	446680	4094233	4.4	1100947	591048494	593035371		0.2568	0.7354		0.0077
Kiley_B_DrsuR_-O2_C	0	0	479291	0	0	0	8251754	86.08191670877699	0	0	545303	0	1450	9585932	0	301228	6906	96.86	3.14	150614.0	4792966.0	4642352.0	fail	pass	warn	warn	0.0	144.02852137903753	warn	fail	4792966.0	pass	Kiley_B_DrsuR_-O2_C_val_2.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	692.3 Mbp	pass	8.414637685463534	Sanger / Illumina 1.9	20-150	0.3194298242692831	4795012	205050	4795012	4.4	1426991	692489662	694708769		0.2217	0.4938		0.2845
Kiley_B_WT_+O2_Ctrl_A	0	0	385403	0	0	0	6434099	84.16635903816886	0	0	623649	0	2035	7644502	0	194648	4668	97.45	2.55	97324.0	3822251.0	3724927.0	fail	pass	warn	warn	0.0	143.52225717254046	warn	fail	3822251.0	pass	Kiley_B_WT_+O2_Ctrl_A_val_1.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	550.2 Mbp	pass	11.593868799675144	Sanger / Illumina 1.9	20-150	0.3244771167045568	3823184	164298	3823184	4.4	1148107	550383159	552174840		0.3448	0.5173		0.1379
Kiley_B_WT_+O2_Ctrl_B	0	0	337635	0	0	0	5605926	83.7267216926463	0	0	547983	0	1700	6695504	0	198274	3986	97.04	2.96	99137.0	3347752.0	3248615.0	fail	pass	warn	warn	0.0	143.09738923313316	warn	fail	3347752.0	pass	Kiley_B_WT_+O2_Ctrl_B_val_1.fq.gz	pass	pass	48.0	150	pass	Conventional base calls	480.5 Mbp	pass	10.112589079727805	Sanger / Illumina 1.9	21-150	0.3230715695735092	3348814	161555	3348814	4.4	982865	480648286	482206157		0.5455	0.4529		0.0016
