Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>100	>1k	>500	>5k	>10k+	>10	>50
Kiley_A_DZM0422_Aerobic_A										24.792239522447446	16.908675754556306	11.423090112838233	2.976522974702537	5.8760642048559975	16.495668692966063	9.342261174424223
Kiley_A_DZM0422_Aerobic_B										25.539544708681454	16.3294679124029	11.103422936621298	2.712092395688261	4.901150762912627	17.196937789670564	9.545151292608512
Kiley_A_DZM0422_Aerobic_C										25.085532709399743	16.358469563008896	11.225096285621932	2.6631455490128504	5.370881907711081	17.231421195342417	9.480165185530097
Kiley_A_DZM0422_Anaerobic_A										23.391688710866358	19.619610706009816	11.911428030540183	3.6607328354616318	5.262144387175028	14.520619382171526	8.068727487903761
Kiley_A_DZM0422_Anaerobic_B										24.15207892487095	17.758610039684193	11.58093452558599	3.0137598892419426	5.226850177264609	15.579378750109049	8.625375141467035
Kiley_A_DZM0422_Anaerobic_C										24.41330709817899	17.190265677883975	11.738701332041806	2.9540602745625923	5.548446706404258	15.929731628378994	8.636580116731762
Kiley_A_WT_Aerobic_A										22.6005355278194	19.117334833410343	9.980406325049264	4.664639632333004	8.421922913387903	13.914529165891224	8.109447309475891
Kiley_A_WT_Aerobic_B										22.725737886796445	18.534565166836124	9.920563570818556	4.41627018651119	8.192619890605524	14.545949003228955	8.507181316024873
Kiley_A_WT_Aerobic_C										22.774478514886788	20.204572576808935	10.291623304916213	5.228928513337042	8.083940396015505	13.491563861207242	8.132706056625434
Kiley_A_WT_Anaerobic_A										23.7218202277948	18.674207537942735	11.41668614107989	3.2893683918981904	5.693991588456409	15.14874459827806	8.108068209458509
Kiley_A_WT_Anaerobic_B										22.9937023058678	19.806901314529757	11.317537841738709	3.830092534587406	4.893359780650992	14.916372987411828	8.083147366850191
Kiley_A_WT_Anaerobic_C										24.931347289807658	18.282947056873695	11.624888281337173	2.9655653805188322	3.019169621287191	16.495920327074877	8.873460352994412
Kiley_B_Dfur_-O2_A										28.243953761623324	7.395445631099689	5.865498826715969	2.3472671023394995	3.2368951946152795	23.731939814853284	14.397325141006029
Kiley_B_Dfur_-O2_B										29.43247667458646	7.6525542176793016	6.292392193725303	2.143912531492826	3.0524976125716154	23.153047237762316	14.385370747078799
Kiley_B_Dfur_-O2_C										26.19551823136651	6.818154807952624	5.309349161672603	1.6883457120975245	2.8523359265888026	23.925248901386293	14.127489231784345
Kiley_B_DrsuR_-O2_A										29.754409956347594	5.726349255090161	6.031485650959088	0.0	1.3450202214462152	26.213637034033145	15.643047616990843
Kiley_B_DrsuR_-O2_B										30.743311378730926	6.5096285104434495	6.394656133044004	0.6537216842054638	1.3670291257264178	23.84137225313555	14.676236572450849
Kiley_B_DrsuR_-O2_C										32.6793572032	7.444302898724533	7.6696962717544075	1.0622184714011946	1.362704656115336	21.827651047057405	14.686468208445906
Kiley_B_WT_+O2_Ctrl_A										27.653322144573643	11.523867035971207	9.999650728084998	0.6575742033427742	1.4594964203788994	18.820628892428942	11.444742566497288
Kiley_B_WT_+O2_Ctrl_B										28.90876320252424	11.299039657876412	10.748222676244259	0.6614145303895359	1.5301646768441244	18.956883484389564	11.717217505794999
Kiley_B_WT_+O2_Ctrl_C										28.94109424041471	12.319973962906516	10.0421921159561	0.8062172206793323	1.3378626856417142	18.9521079855433	12.40801232684033
