Sample	se_antisense	failed	pe_antisense	se_sense	pe_sense
SRX2036303		0.457	0.4529		0.0902
SRX2036305		0.4546	0.4661		0.0793
SRX2036307		0.4241	0.4862		0.0896
SRX2037533	0.525	0.3995		0.0755	
SRX2037535	0.5319	0.3991		0.069	
SRX2037536	0.5157	0.4348		0.0495	
SRX2037537	0.5041	0.446		0.0499	
SRX2037538	0.4866	0.4345		0.0789	
SRX2037540	0.4772	0.4387		0.0842	
SRX2037541	0.4643	0.4679		0.0678	
SRX2037542	0.4668	0.4674		0.0657	
SRX2037691		0.5423	0.4014		0.0564
SRX2037693		0.6331	0.3193		0.0476
SRX2037695		0.5742	0.3677		0.0581
SRX2037697		0.5654	0.3733		0.0613
SRX2037699		0.5165	0.4177		0.0658
SRX2037713		0.5294	0.3994		0.0713
SRX2037715		0.5419	0.3995		0.0586
SRX2037717		0.6086	0.3379		0.0535
SRX2116174		0.6714	0.2864		0.0422
SRX2116175		0.6919	0.2667		0.0415
SRX2116176		0.6204	0.3557		0.0239
SRX21659709		0.5301	0.4545		0.0154
SRX21659710		0.4842	0.502		0.0138
SRX21659711		0.5128	0.4712		0.016
SRX22720559		0.3996	0.5836		0.0168
SRX22720560		0.4088	0.573		0.0182
SRX22720561		0.4222	0.5657		0.012
SRX22720562		0.4271	0.5566		0.0163
SRX22720563		0.412	0.5715		0.0164
SRX22720564		0.4014	0.5821		0.0165
SRX22720565		0.4258	0.5589		0.0152
SRX22720566		0.4259	0.5588		0.0153
SRX22720567		0.4117	0.5765		0.0117
SRX22720568		0.4168	0.5708		0.0124
SRX22720569		0.4061	0.5786		0.0153
SRX22720570		0.4051	0.5808		0.014
SRX22720571		0.4141	0.5682		0.0177
SRX22720572		0.4437	0.5404		0.0159
SRX22720573		0.4145	0.5675		0.018
SRX22720574		0.4224	0.5576		0.02
SRX22720575		0.4197	0.5599		0.0204
SRX22720576		0.406	0.5777		0.0163
SRX22720577		0.4003	0.5826		0.0171
SRX22720578		0.3988	0.5842		0.017
SRX22720579		0.4048	0.5773		0.0179
SRX3316529		0.4293	0.5219		0.0489
SRX3316530		0.374	0.6089		0.017
SRX3316531		0.3889	0.5891		0.0221
SRX3316532		0.3652	0.616		0.0188
SRX3316533		0.4603	0.5197		0.02
SRX3316534		0.4348	0.5461		0.0191
SRX3316535		0.3987	0.5827		0.0186
SRX3316536		0.4832	0.4468		0.07
SRX3316537		0.4165	0.5416		0.0419
SRX3316538		0.3916	0.5906		0.0178
SRX3316539		0.3905	0.5936		0.0159
SRX3316540		0.3709	0.6095		0.0196
SRX3316541		0.406	0.5672		0.0268
SRX3316542		0.3992	0.5793		0.0215
SRX3316543		0.3639	0.6167		0.0194
SRX3316544		0.3942	0.5863		0.0195
SRX3316545		0.3904	0.5902		0.0194
SRX3316546		0.3754	0.605		0.0197
SRX3316547		0.3974	0.5849		0.0177
SRX3316548		0.4074	0.5776		0.0149
SRX3316549		0.3938	0.5907		0.0156
SRX3316550		0.3933	0.5923		0.0144
SRX3316551		0.4838	0.4945		0.0217
SRX3316552		0.4225	0.5572		0.0203
SRX3316553		0.3997	0.5822		0.0181
SRX3316554		0.4266	0.5486		0.0247
SRX3316555		0.4282	0.5478		0.024
SRX3316556		0.4162	0.5565		0.0273
SRX3316557		0.386	0.5947		0.0193
SRX3316558		0.3981	0.5869		0.015
SRX3316559		0.3913	0.5869		0.0218
SRX3316560		0.4256	0.5548		0.0196
SRX3316561		0.417	0.5578		0.0253
SRX3316625		0.3897	0.5943		0.016
SRX3316626		0.3756	0.6053		0.0192
SRX3316627		0.396	0.5835		0.0205
SRX3316628		0.3849	0.5936		0.0215
SRX3316629		0.3765	0.6045		0.019
SRX3316630		0.377	0.6024		0.0206
SRX3316631		0.3805	0.601		0.0185
SRX3316632		0.3767	0.6069		0.0165
SRX3316633		0.3763	0.6052		0.0186
SRX3316634		0.3968	0.5806		0.0226
SRX3316735		0.4414	0.5429		0.0157
SRX3316736		0.4055	0.5776		0.0169
SRX3316737		0.4075	0.573		0.0195
SRX3316738		0.4152	0.5637		0.0212
SRX3316739		0.4163	0.5675		0.0162
SRX3316740		0.4713	0.5161		0.0126
SRX3316741		0.4616	0.52		0.0184
SRX3316742		0.4109	0.5718		0.0173
SRX3316743		0.411	0.5702		0.0188
SRX3316744		0.484	0.5022		0.0138
SRX3316745		0.4983	0.4893		0.0123
SRX3316746		0.4849	0.5034		0.0116
SRX3316747		0.4255	0.5592		0.0154
SRX3316748		0.4159	0.565		0.0192
SRX3316749		0.4381	0.5477		0.0142
SRX3316750		0.4153	0.5674		0.0172
SRX3316751		0.3957	0.5835		0.0208
SRX3316752		0.3946	0.5859		0.0195
SRX3316753		0.3917	0.5892		0.0191
SRX3316754		0.3981	0.5828		0.0191
SRX3316755		0.3953	0.586		0.0187
SRX3316756		0.3972	0.5824		0.0204
SRX3316757		0.3953	0.585		0.0197
SRX3316758		0.4021	0.5788		0.0191
SRX3411505		0.9513	0.0268		0.0219
SRX3411506		0.917	0.0457		0.0374
SRX3411507		0.9358	0.0362		0.028
SRX3411508		0.9542	0.0255		0.0203
SRX3411509		0.9518	0.0259		0.0223
SRX3411510		0.9316	0.0417		0.0267
SRX3411511		0.952	0.0257		0.0222
SRX3411512		0.9552	0.0261		0.0186
SRX3411513		0.933	0.038		0.029
SRX3411514		0.4929	0.2674		0.2397
SRX3411515		0.5634	0.2228		0.2138
SRX3411516		0.3383	0.3712		0.2905
SRX3411517		0.6947	0.1714		0.1339
SRX3411518		0.4585	0.2867		0.2547
SRX3411519		0.5402	0.2378		0.222
