Sample	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	FastQC_mqc-generalstats-fastqc-percent_gc	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails
SRX14953922	6528245.0	9395645	99.0167532233285	100	17.47	53.0	1.0526263759890357	37378598.0	12.568214837806382	95.32232910045907	20.0
SRX14953923	12218859.0	18946908	99.06154242836664	100	33.17	51.0	0.692598886101308	36840129.0	25.715040248637568	93.34690455961389	30.0
SRX14953924	24758442.0	42116617	99.07113395481754	100	89.94	48.0	0.7301211396265073	27527543.0	76.49904860742566	91.16039009650163	20.0
SRX14953925	4122515.0	6074290	99.02180904797008	100	13.4	53.0	1.3310241260548807	30766680.0	9.871539600632891	94.85329574494	30.0
SRX14953926	14901201.0	23804789	99.01549691180169	100	54.98	50.0	1.3026637334197289	27101077.0	43.91852951083826	91.17878445070843	30.0
SRX14953927	8912822.0	12534292	98.65467022248154	100	26.68	52.0	3.029131824088984	33401064.0	18.763312450166257	94.163610029841	20.0
SRX14953928	5671068.0	7163477	98.98075840619667	100	15.41	53.0	0.7054101618982254	36800174.0	9.732939034473045	92.67437689298545	40.0
SRX14953929	8268004.0	9435376	98.95338896789778	100	26.99	52.0	3.0090481625150205	30632276.0	15.401036475383023	91.37235539049625	30.0
SRX14953930	22850866.0	32657853	99.02387440162914	100	72.15	49.0	0.7761989721472036	31671621.0	51.556964829807725	90.18153412841005	30.0
SRX14953931	2805214.0	3494130	98.94593964778961	100	12.47	53.0	1.0932969616140071	22503368.0	7.763571212984652	93.84109101623957	20.0
SRX14953932	1360545.0	1598456	99.06223124834824	100	5.67	54.0	0.9294795807068024	23989620.0	3.331557565313665	95.33015956317003	20.0
SRX18804540	10096437.0	17805653	148.63901770466532	150	95.37	49.0	0.5351327754915306	10587040.0	84.09174330124378	84.48734486030241	18.181818181818183
SRX18804541	10542668.0	18586887	148.7072164546402	150	94.74	49.0	0.49208030820822896	11128484.0	83.51041795090867	83.95082979094985	18.181818181818183
SRX18804542	8733297.0	15524893	148.67539309195317	150	95.47	49.0	0.5144138278310907	9148114.0	84.8529707872027	84.95421200180871	18.181818181818183
SRX18804543	8850169.0	14833477	148.73113898536084	150	95.52	48.0	0.479908808900622	9265501.0	80.04681560122869	81.929182719121	18.181818181818183
SRX18804544	12289229.0	20301724	148.80481870643723	150	94.62	48.0	0.4468703803054388	12988299.0	78.15389836652206	83.55776727305856	18.181818181818183
SRX18804545	11002860.0	17781546	148.83203994743795	150	94.61	48.0	0.40917106279718907	11629682.0	76.4489777106545	81.77285429362378	18.181818181818183
SRX18804546	8521394.0	13979053	148.71768258843557	150	95.89	49.0	0.4965144215442937	8887036.0	78.64856741887847	82.41461376068203	18.181818181818183
SRX18804547	9946392.0	17779729	148.79897925404578	150	95.33	49.0	0.44131307194471964	10433938.0	85.20143113750532	86.25088617351219	18.181818181818183
SRX18804548	9729150.0	16903172	148.80379458787826	150	91.43	48.0	0.4511319774435139	10641261.0	79.42278645359794	78.5998250532783	18.181818181818183
SRX18804549	8825750.0	15901977	148.66863877494606	150	92.66	49.0	0.5137308276351847	9525001.0	83.47493611811694	81.74578248345719	18.181818181818183
SRX18804550	8113595.0	13332122	148.59549100390848	150	92.84	49.0	0.5817075294794877	8739462.0	76.27541603819549	76.154446240415	18.181818181818183
SRX18804551	7609014.0	13173916	148.73426187615252	150	93.14	50.0	0.4757995104039168	8169144.0	80.63216904978049	80.44348636788732	18.181818181818183
SRX18804552	6984533.0	11295101	147.95507979598202	150	85.18	50.0	1.0049248224473406	8199473.0	68.87699367995967	77.70913414041794	18.181818181818183
SRX18804553	7910027.0	13481517	148.31990192512043	150	93.0	50.0	0.7612878545902212	8505338.0	79.25327012283346	78.83043256684923	18.181818181818183
SRX18804554	7314831.0	12790568	148.0840002976892	150	92.9	50.0	0.9067648468512468	7873984.0	81.22043428079103	78.76819283885288	18.181818181818183
SRX19817112	4361643.0	7608978	146.78995634508001	150	39.96	48.0	3.7761603293034933	10915150.0	34.85512338355405	56.18704967056072	18.181818181818183
SRX19817113	4036333.0	6954626	146.50690261978104	150	41.2	49.0	4.5472591083184115	9796353.0	35.49599529539207	56.37427124427235	18.181818181818183
SRX19817114	5080553.0	8709814	146.48436588344308	150	48.78	48.0	4.584031593011337	10415459.0	41.81195471078135	56.1822944446301	18.181818181818183
SRX19817115	4193731.0	7375769	147.04317881899536	150	39.31	48.0	3.7161398279555704	10669560.0	34.56454155560304	49.604062212584644	9.090909090909092
SRX19817116	4252099.0	7462134	147.09963348150038	150	40.74	48.0	3.612267400853005	10438218.0	35.74429083584957	55.15492686017755	18.181818181818183
SRX19817117	5583483.0	9802232	147.04250487876092	150	49.98	48.0	3.715484824742115	11171894.0	43.87005462099802	55.33259340423846	18.181818181818183
SRX2036088	44094339.0	2374575	46.2406110732479	49	94.12	52.0	7.973604859562039	46848459.0	5.068629898797738	92.35501946942516	27.27272727272727
SRX2036089	41211821.0	2334699	46.20303146175339	49	93.99	52.0	7.871420424797732	43849209.0	5.324381107992164	91.7426022467069	27.27272727272727
SRX2036090	40706490.0	2200673	46.08381375458918	49	94.9	52.0	8.264513125945006	42895167.0	5.130351864581853	92.49372474966363	36.36363636363637
SRX2036091	38519613.0	1803687	46.00267596314874	49	94.1	52.0	8.34670982304809	40935915.0	4.406123571440873	92.51434854746104	36.36363636363637
SRX2036300	12833884.0	17053617	95.10791987888894	100	95.5	44.0	3.0606011207383763	13438905.0	63.4486849933086	85.28171749589423	27.27272727272727
SRX2036303	11788251.0	15363389	95.24838069662192	100	95.76	43.0	3.080384093770132	12310695.0	62.39854451759223	84.75018051739443	27.27272727272727
SRX2036305	14342560.0	18751224	95.09941347843308	100	95.31	43.0	7.7139698383773005	15048040.0	62.30453932870992	86.42182392355231	18.181818181818183
SRX2036307	14950697.0	20436637	95.26327032442053	100	95.04	43.0	3.1883887234493624	15731002.0	64.95656475029372	86.21450128004244	18.181818181818183
SRX2037533	34521952.0	26084629	49.21141439476486	50	93.62	45.0	1.626687167695106	36872669.0	70.74244883113832	88.01007883606802	18.181818181818183
SRX2037535	36104716.0	27694662	49.20217343473011	50	93.71	45.0	1.6406006611496757	38527589.0	71.88267607402062	87.8989179272267	18.181818181818183
SRX2037536	37889276.0	26757377	49.15866759954037	50	77.92	43.0	1.7742198016241062	48628233.0	55.024366194839935	89.11691372593785	27.27272727272727
SRX2037537	46915855.0	32292748	49.159740737902474	50	80.23	44.0	1.7713446172010494	58473337.0	55.226449620961425	90.41618315461866	27.27272727272727
SRX2037538	46598020.0	33153430	49.25594619133796	50	94.94	45.0	1.515070614107562	49080871.0	67.5485771228469	91.69686261609887	27.27272727272727
SRX2037540	38603746.0	26823881	49.26099902567842	50	95.12	45.0	1.5052341090790198	40585163.0	66.09282559737409	89.41982539166312	27.27272727272727
SRX2037541	35573747.0	23671118	49.20035888856057	50	84.55	45.0	1.6677735204206432	42076571.0	56.25724111406322	87.09600694240615	36.36363636363637
SRX2037542	40397823.0	27023480	49.175663255320266	50	83.82	45.0	1.7136848686154393	48195731.0	56.07027726169357	88.67627859967232	36.36363636363637
SRX2037691	13354360.0	17483394	94.15492329167533	100	79.65	41.0	9.12526823241462	16767085.0	52.13605704271196	82.38195440131739	36.36363636363637
SRX2037693	14204198.0	14314367	94.13625015681438	100	84.01	45.0	3.8906828835931364	16906931.0	42.332836751980594	85.98777641400433	27.27272727272727
SRX2037695	12202576.0	14964078	94.618956610261	100	83.6	44.0	8.513222461443693	14597230.0	51.25656717062073	84.67788995746734	27.27272727272727
SRX2037697	12859573.0	15806384	94.59497283430782	100	83.66	44.0	3.59040201789013	15370490.0	51.41795739758459	84.88687753046831	27.27272727272727
SRX2037699	12204632.0	16549935	96.75552606195316	100	76.56	40.0	8.72692454005249	15941687.0	51.90772783332152	81.00105636514996	27.27272727272727
SRX2037713	11736032.0	14817772	94.41412301037147	100	70.65	37.0	4.623493028213961	16612209.0	44.59904158441542	82.24763769427103	45.45454545454545
SRX2037715	12317819.0	14853116	94.00242800648768	100	71.43	38.0	9.7494092328635	17243776.0	43.06804959656168	82.78463955911745	45.45454545454545
SRX2037717	10692991.0	11315215	94.51342080778872	100	82.11	44.0	3.6452590385221146	13022316.0	43.44547851549601	84.06539840795196	36.36363636363637
SRX2116174	2476177.0	2114057	146.9141974537609	151	68.13	39.0	2.8363336478374976	3634694.0	29.081636583437287	64.35844535302414	40.0
SRX2116175	2417184.0	1959750	146.62738869264746	151	61.98	37.0	4.260694825597855	3899675.0	25.12709392449371	57.987768708910195	40.0
SRX2116176	3204954.0	3792618	147.31701696244957	151	92.44	49.0	3.7150569805397256	3467070.0	54.69485761752719	79.23144931668027	20.0
SRX21659709	9555719.0	14010097	146.8397426356586	150	93.38	49.0	1.998549628920013	10232653.0	68.45779388786075	88.61352824581806	30.0
SRX21659710	10436688.0	16654994	147.27436412508388	150	93.19	49.0	1.4183505919818966	11198822.0	74.36047291402613	87.84593092716725	20.0
SRX21659711	23514039.0	34710067	146.6561907120903	150	93.73	50.0	2.0478347214864967	25087324.0	69.17849627963508	91.89479269850288	20.0
SRX22720559	17046326.0	30017058	99.22244718974648	100	93.97	48.0	0.4967059349064956	18140890.0	82.73314594818667	78.91274216139513	20.0
SRX22720560	17141967.0	30199486	99.26980420425355	100	94.64	49.0	0.49036426640185987	18112038.0	83.3685474820669	76.87728247816362	20.0
SRX22720561	17154762.0	30521793	99.27459157718684	100	94.79	49.0	0.4598536084754942	18098585.0	84.3209372445415	82.57792501896137	20.0
SRX22720562	17102124.0	30021853	99.2688526777167	100	94.83	49.0	0.4637148927603112	18035011.0	83.23214496514585	78.13171940869366	20.0
SRX22720563	16983027.0	29977116	99.14400152148811	100	94.14	49.0	0.4558449771201231	18040233.0	83.08405994534549	82.44334871343321	20.0
SRX22720564	17258457.0	30522345	99.26437732051599	100	95.11	49.0	0.4745095363665337	18145210.0	84.10579155600844	81.44586972251389	20.0
SRX22720565	17018796.0	30114293	99.27492319066387	100	94.28	49.0	0.45921344314969287	18051842.0	83.41058214447035	78.80266382313098	20.0
SRX22720566	16892367.0	29862667	99.15635266639406	100	93.26	48.0	0.5700767047867785	18113583.0	82.43169504343784	77.44090434538398	20.0
