Sample	reads_aligned_percentage	not_aligned_percentage	not_aligned	reads_processed	reads_aligned
SRX6700168	95.97	4.03	1601110.0	39717574.0	38116464.0
SRX6700169	95.64	4.36	1529198.0	35086281.0	33557083.0
SRX6700170	96.01	3.99	1633684.0	40981955.0	39348271.0
SRX6700171	95.4	4.6	2037758.0	44265043.0	42227285.0
SRX6700172	95.59	4.41	1772317.0	40166194.0	38393877.0
SRX6700173	95.43	4.57	1598572.0	34976537.0	33377965.0
SRX6700174	95.66	4.34	1774076.0	40903020.0	39128944.0
SRX6700175	95.61	4.39	1600308.0	36455366.0	34855058.0
SRX6700176	95.93	4.07	1676429.0	41172219.0	39495790.0
SRX6700177	95.32	4.68	1369073.0	29225425.0	27856352.0
SRX6700178	94.91	5.09	1485424.0	29193538.0	27708114.0
SRX6700179	85.51	14.49	5834874.0	40257068.0	34422194.0
SRX6700180	77.96	22.04	10578731.0	47992031.0	37413300.0
SRX6700181	96.96	3.04	1025567.0	33734197.0	32708630.0
SRX6700182	84.43	15.57	6829717.0	43872257.0	37042540.0
SRX6700183	96.17	3.83	1152261.0	30100393.0	28948132.0
SRX6700184	95.47	4.53	1813258.0	40000921.0	38187663.0
SRX6700185	96.04	3.96	1528005.0	38579607.0	37051602.0
SRX6922015	87.16	12.84	1213600.0	9452574.0	8238974.0
SRX6922016	87.17	12.83	746082.0	5816088.0	5070006.0
SRX6922017	91.27	8.73	936346.0	10722955.0	9786609.0
SRX6922018	93.02	6.98	565321.0	8095995.0	7530674.0
SRX6922019	91.87	8.13	1177525.0	14487747.0	13310222.0
SRX6922020	90.94	9.06	802498.0	8859257.0	8056759.0
SRX6922021	91.24	8.76	960146.0	10955372.0	9995226.0
SRX6922022	87.26	12.74	1281218.0	10058088.0	8776870.0
SRX6922023	92.08	7.92	703039.0	8873735.0	8170696.0
SRX6922024	93.19	6.81	651108.0	9566852.0	8915744.0
SRX6922025	92.85	7.15	673379.0	9412712.0	8739333.0
SRX6922026	90.31	9.69	1155189.0	11927268.0	10772079.0
SRX6922027	90.43	9.57	1145184.0	11967347.0	10822163.0
SRX6922028	90.52	9.48	943299.0	9953569.0	9010270.0
SRX6922029	92.88	7.12	671324.0	9422597.0	8751273.0
SRX7101023	93.05	6.95	2661625.0	38313501.0	35651876.0
SRX7101024	98.22	1.78	627429.0	35152468.0	34525039.0
SRX7101025	98.29	1.71	616056.0	36111384.0	35495328.0
SRX7101026	98.01	1.99	635509.0	31867022.0	31231513.0
SRX7101027	98.13	1.87	670136.0	35873332.0	35203196.0
SRX7101028	97.92	2.08	795739.0	38226772.0	37431033.0
SRX7101029	97.6	2.4	981193.0	40827951.0	39846758.0
SRX7101030	97.66	2.34	845655.0	36168561.0	35322906.0
SRX7101031	97.16	2.84	992696.0	34941948.0	33949252.0
SRX7101032	97.21	2.79	1067559.0	38213581.0	37146022.0
SRX7101033	96.81	3.19	1205222.0	37797214.0	36591992.0
SRX7101034	94.06	5.94	2382555.0	40113542.0	37730987.0
SRX7101035	85.24	14.76	5038306.0	34143555.0	29105249.0
SRX7101036	87.57	12.43	9838433.0	79149686.0	69311253.0
SRX7101037	84.33	15.67	11170552.0	71286230.0	60115678.0
SRX7101038	89.94	10.06	8029365.0	79810502.0	71781137.0
SRX7101039	88.24	11.76	9518792.0	80913728.0	71394936.0
SRX7101040	89.76	10.24	8498145.0	82979739.0	74481594.0
SRX7101041	86.43	13.57	9444515.0	69618645.0	60174130.0
SRX7551986	92.75	7.25	489662.0	6752546.0	6262884.0
SRX7551987	92.69	7.31	469301.0	6417511.0	5948210.0
SRX7551988	94.04	5.96	253943.0	4261001.0	4007058.0
SRX7551989	93.88	6.12	354732.0	5791989.0	5437257.0
SRX7551990	93.98	6.02	362982.0	6027975.0	5664993.0
SRX7551991	94.49	5.51	290461.0	5268866.0	4978405.0
SRX8694706	96.0	4.0	153250.0	3829945.0	3676695.0
SRX8694707	95.6	4.4	193242.0	4390763.0	4197521.0
SRX8694708	95.96	4.04	176692.0	4377427.0	4200735.0
SRX8694709	96.8	3.2	135838.0	4242843.0	4107005.0
SRX8694710	96.58	3.42	181770.0	5315324.0	5133554.0
SRX8694711	97.07	2.93	122047.0	4167804.0	4045757.0
SRX8694712	95.11	4.89	242361.0	4956322.0	4713961.0
SRX8694713	95.87	4.13	159815.0	3868503.0	3708688.0
SRX8694714	96.18	3.82	159725.0	4181433.0	4021708.0
SRX8694715	96.05	3.95	174868.0	4432192.0	4257324.0
SRX8694716	96.09	3.91	161357.0	4129134.0	3967777.0
SRX8694717	95.85	4.15	205857.0	4956273.0	4750416.0
SRX8694718	95.79	4.21	179316.0	4257227.0	4077911.0
SRX8694719	95.69	4.31	178863.0	4145764.0	3966901.0
SRX8694720	96.16	3.84	144081.0	3748460.0	3604379.0
SRX8694721	96.1	3.9	162652.0	4174584.0	4011932.0
SRX8694722	95.75	4.25	199789.0	4698305.0	4498516.0
SRX8694723	96.69	3.31	142270.0	4304229.0	4161959.0
SRX8694724	95.79	4.21	177615.0	4217295.0	4039680.0
SRX8694725	96.14	3.86	169168.0	4385694.0	4216526.0
SRX8694726	96.39	3.61	188604.0	5220168.0	5031564.0
SRX8694727	96.57	3.43	185069.0	5403074.0	5218005.0
SRX8694728	96.83	3.17	165994.0	5241586.0	5075592.0
SRX8694729	97.22	2.78	348111.0	12543259.0	12195148.0
