Sample	Sense	Undetermined	Antisense
SRX2036090	6.58	92.60000000000001	0.8200000000000001
SRX2036091	6.959999999999999	92.17	0.8699999999999999
SRX2036300	8.77	45.36	45.87
SRX2036303	9.02	45.7	45.29
SRX2036305	7.93	45.46	46.61
SRX2036307	8.959999999999999	42.41	48.620000000000005
SRX2037533	7.55	39.95	52.5
SRX2037535	6.9	39.910000000000004	53.190000000000005
SRX2037536	4.95	43.480000000000004	51.57000000000001
SRX2037537	4.99	44.6	50.41
SRX2037538	7.89	43.45	48.66
SRX2037540	8.42	43.87	47.72
SRX2037541	6.78	46.79	46.43
SRX2037542	6.569999999999999	46.739999999999995	46.68
SRX2037691	5.64	54.230000000000004	40.14
SRX2037693	4.760000000000001	63.31	31.929999999999996
SRX2037695	5.81	57.42	36.77
SRX2037697	6.13	56.54	37.330000000000005
SRX2037699	6.58	51.65	41.77
SRX2037713	7.13	52.94	39.94
SRX2037715	5.86	54.190000000000005	39.95
SRX2037717	5.35	60.86	33.79
SRX2116174	4.22	67.14	28.64
SRX2116175	4.15	69.19	26.669999999999998
SRX2116176	2.39	62.03999999999999	35.57
SRX21659709	1.54	53.010000000000005	45.45
SRX21659710	1.38	48.42	50.2
SRX21659711	1.6	51.28	47.12
SRX22720559	1.68	39.96	58.36
SRX22720560	1.82	40.88	57.3
SRX22720561	1.2	42.22	56.57
SRX22720562	1.63	42.71	55.66
SRX22720563	1.6400000000000001	41.199999999999996	57.15
SRX22720564	1.6500000000000001	40.14	58.209999999999994
SRX22720565	1.52	42.58	55.88999999999999
SRX22720566	1.53	42.59	55.879999999999995
SRX22720567	1.17	41.17	57.65
SRX22720568	1.24	41.68	57.08
SRX22720569	1.53	40.61	57.86
SRX22720570	1.4000000000000001	40.510000000000005	58.08
SRX22720571	1.77	41.410000000000004	56.82000000000001
SRX22720572	1.59	44.37	54.04
SRX22720573	1.7999999999999998	41.449999999999996	56.75
SRX22720574	2.0	42.24	55.76
SRX22720575	2.04	41.97	55.989999999999995
SRX22720576	1.63	40.6	57.769999999999996
SRX22720577	1.71	40.03	58.26
SRX22720578	1.7000000000000002	39.879999999999995	58.42
SRX22720579	1.79	40.48	57.730000000000004
SRX3316529	4.89	42.93	52.190000000000005
SRX3316530	1.7000000000000002	37.4	60.89
SRX3316531	2.21	38.89	58.91
SRX3316532	1.8800000000000001	36.52	61.6
SRX3316533	2.0	46.03	51.970000000000006
SRX3316534	1.91	43.480000000000004	54.61
SRX3316535	1.8599999999999999	39.87	58.269999999999996
SRX3316536	7.000000000000001	48.32	44.68
SRX3316537	4.19	41.65	54.16
SRX3316538	1.78	39.160000000000004	59.06
SRX3316539	1.59	39.050000000000004	59.36
SRX3316540	1.96	37.09	60.95
SRX3316541	2.68	40.6	56.720000000000006
SRX3316542	2.15	39.92	57.93000000000001
SRX3316543	1.94	36.39	61.67
SRX3316544	1.95	39.42	58.63
SRX3316545	1.94	39.04	59.019999999999996
SRX3316546	1.97	37.54	60.5
SRX3316547	1.77	39.739999999999995	58.489999999999995
SRX3316548	1.49	40.739999999999995	57.76
SRX3316549	1.5599999999999998	39.379999999999995	59.07
SRX3316550	1.44	39.33	59.230000000000004
SRX3316551	2.17	48.38	49.45
SRX3316552	2.03	42.25	55.720000000000006
SRX3316553	1.81	39.97	58.220000000000006
SRX3316554	2.4699999999999998	42.66	54.86
SRX3316555	2.4	42.82	54.779999999999994
SRX3316556	2.73	41.620000000000005	55.65
SRX3316557	1.9300000000000002	38.6	59.47
SRX3316558	1.5	39.81	58.69
SRX3316559	2.18	39.129999999999995	58.69
SRX3316560	1.96	42.559999999999995	55.48
SRX3316561	2.53	41.699999999999996	55.779999999999994
SRX3316625	1.6	38.97	59.43000000000001
SRX3316626	1.92	37.56	60.529999999999994
SRX3316627	2.0500000000000003	39.6	58.35
SRX3316628	2.15	38.49	59.36
SRX3316629	1.9	37.65	60.45
SRX3316630	2.06	37.7	60.24
SRX3316631	1.8499999999999999	38.05	60.099999999999994
SRX3316632	1.6500000000000001	37.669999999999995	60.69
SRX3316633	1.8599999999999999	37.63	60.519999999999996
SRX3316634	2.26	39.68	58.06
SRX3316735	1.5699999999999998	44.14	54.290000000000006
SRX3316736	1.69	40.550000000000004	57.76
SRX3316737	1.95	40.75	57.3
