Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity
SRX10341595	0	0	825095	0	0	0	15322693	81.53236995185433	0	0	1618475	0	8567	18793386	0	1005742	12814
SRX10341596	0	0	880898	0	0	0	14766885	81.03375556600382	0	0	1684009	0	9834	18223128	0	868836	12666
SRX10341597	0	0	676256	0	0	0	11942093	81.65553775038352	0	0	1242037	0	7116	14624964	0	747112	10350
SRX11348531	0	0	902026	0	0	0	12287495	56.440166692741315	0	0	2083247	0	11242	21770834	0	6476334	10490
SRX11348532	0	0	1008037	0	0	0	14620863	57.055939773712794	0	0	2701893	0	11962	25625488	0	7268884	13849
SRX1432806	0	0	207646	0	0	0	4372111	30.058619695376137	0	0	1181287	0	4160211	14545282	0	4620313	3714
SRX14563846	0	0	1490829	0	0	0	38782569	84.04796606126088	0	0	3188920	0	1070210	46143376	0	1592584	18264
SRX14563847	0	0	1308648	0	0	0	34766426	81.0713137593958	0	0	2933616	0	1679428	42883758	0	2178918	16722
SRX14563848	0	0	1345292	0	0	0	36224546	75.20395422676017	0	0	3319159	0	2699529	48168406	0	4561456	18424
SRX14563849	0	0	1508659	0	0	0	39717723	85.08618276274478	0	0	2935070	0	998290	46679404	0	1500530	19132
SRX14570260	0	0	634259	0	0	0	19922783	82.18083660450148	0	0	2101549	0	37205	24242614	0	1534364	12454
SRX14570261	0	0	482876	0	0	0	15376800	82.21102798002144	0	0	1608161	0	28785	18704060	0	1197780	9658
SRX14570262	0	0	583220	0	0	0	17642669	82.46228505442015	0	0	1819001	0	30156	21394834	0	1308904	10884
SRX14570263	0	0	645105	0	0	0	19308143	80.18228585927673	0	0	2369622	0	46114	24080310	0	1697294	14032
SRX14570264	0	0	744607	0	0	0	20583527	80.96700282800985	0	0	2411463	0	47461	25422118	0	1620704	14356
SRX14570265	0	0	1392148	0	0	0	21509315	78.01061660017238	0	0	2994238	0	22656	27572292	0	1637960	15975
