Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity
SRX3316559	0	0	2594559	0	0	0	42557799	82.42510093432986	0	0	3467804	0	476312	51632086	0	2508250	27362
SRX3316560	0	0	2038646	0	0	0	43426291	83.16151471902604	0	0	3819054	0	866742	52219216	0	2043746	24737
SRX3316561	0	0	2348683	0	0	0	43793040	81.55083539949203	0	0	4513274	0	176131	53700296	0	2837996	31172
SRX3316625	0	0	2472906	0	0	0	42186036	84.41019502047905	0	0	3051927	0	39728	49977418	0	2205604	21217
SRX3316626	0	0	2251677	0	0	0	40238688	82.4981280474201	0	0	3359034	0	52193	48775274	0	2848120	25562
SRX3316627	0	0	2494200	0	0	0	42711250	84.27494492987883	0	0	3368894	0	27519	50680840	0	2057214	21763
SRX3316628	0	0	2503859	0	0	0	42202921	83.33055452408772	0	0	3602672	0	82130	50645194	0	2224680	28932
SRX3316629	0	0	2189783	0	0	0	39807446	84.84689789984806	0	0	3058851	0	66226	46916796	0	1767464	27026
SRX3316630	0	0	3084769	0	0	0	50504675	83.54959094267308	0	0	4077519	0	82152	60448740	0	2667668	31957
SRX3316631	0	0	2819495	0	0	0	47694590	84.8018579865421	0	0	3630273	0	85046	56242388	0	1983120	29864
SRX3316632	0	0	2168804	0	0	0	40262185	85.06592399229184	0	0	2939036	0	124890	47330568	0	1814684	20969
SRX3316633	0	0	2123405	0	0	0	39294304	82.94795432937096	0	0	3199541	0	70083	47372240	0	2659544	25363
SRX3316634	0	0	2614480	0	0	0	40879295	82.80696929084614	0	0	3709475	0	33048	49366974	0	2104726	25950
SRX3316735	0	0	2246349	0	0	0	39483881	68.87710615360987	0	0	2612592	0	2342725	57325116	0	10618242	21327
SRX3316736	0	0	2904867	0	0	0	46983467	75.06923579437124	0	0	3265449	0	160956	62586846	0	9243964	28143
SRX3316737	0	0	2976655	0	0	0	47749986	73.13981426311041	0	0	3537576	0	216151	65285900	0	10774934	30598
SRX3316738	0	0	2800225	0	0	0	43794758	73.85892599033316	0	0	3616958	0	206643	59295146	0	8848546	28016
SRX3316739	0	0	2252426	0	0	0	37643522	73.89404083437647	0	0	2630150	0	47223	50942568	0	8348936	20311
SRX3316740	0	0	1109422	0	0	0	24384669	61.63822288006503	0	0	1966809	0	33013	39560954	0	12059320	7721
SRX3316741	0	0	3373174	0	0	0	52993429	69.50713410003175	0	0	4545296	0	5062923	76241712	0	10236652	30238
SRX3316742	0	0	2807521	0	0	0	44146951	75.22103391474432	0	0	3136821	0	52293	58689636	0	8519892	26158
SRX3316743	0	0	2729209	0	0	0	43331716	74.06856190120811	0	0	3243825	0	49549	58502170	0	9121918	25953
SRX3316744	0	0	361620	0	0	0	8766431	55.69495834836926	0	0	923759	0	23885	15740080	0	5661486	2899
SRX3316745	0	0	937497	0	0	0	26485372	57.660079090622	0	0	3248904	0	132178	45933638	0	15121554	8133
SRX3316746	0	0	933010	0	0	0	25507447	57.76146290303522	0	0	2640761	0	116633	44159974	0	14954210	7913
SRX3316747	0	0	1915208	0	0	0	37431889	69.16932479917239	0	0	2376899	0	144364	54116314	0	12230852	17102
SRX3316748	0	0	2515325	0	0	0	39339606	74.08989148754368	0	0	2959736	0	58637	53097130	0	8199892	23934
SRX3316749	0	0	1802509	0	0	0	34654253	69.13030466584458	0	0	2142845	0	69448	50128888	0	11445032	14801
SRX3316750	0	0	2543038	0	0	0	40825959	74.40590761556692	0	0	2964960	0	55103	54869244	0	8455984	24200
SRX3316751	0	0	2081096	0	0	0	31052170	71.16144737173192	0	0	2514309	0	61171	43636226	0	7905996	21484
SRX3316752	0	0	1696459	0	0	0	25759004	72.88444850002476	0	0	2033910	0	31155	35342250	0	5804682	17040
SRX3316753	0	0	2148335	0	0	0	32971269	72.57333421553754	0	0	2512330	0	50160	45431658	0	7726616	22948
SRX3316754	0	0	1905212	0	0	0	29338601	72.38754130777117	0	0	2372905	0	85457	40529904	0	6807728	20001
SRX3316755	0	0	2358133	0	0	0	37724931	72.48752309229015	0	0	2907426	0	32527	52043344	0	8996198	24129
SRX3316756	0	0	1816709	0	0	0	27771698	72.08778109206129	0	0	2239272	0	33759	38524834	0	6644328	19068
SRX3316757	0	0	1963755	0	0	0	29851575	72.0950767239523	0	0	2481613	0	46506	41405844	0	7042566	19829
SRX3316758	0	0	2412634	0	0	0	38344395	73.08546603817575	0	0	3106715	0	30576	52465144	0	8546842	23982
SRX3411505	0	0	58838	0	0	0	658166	4.211445716446667	0	0	102783	0	9472886	15628030	0	5334870	487
SRX3411506	0	0	44691	0	0	0	581637	5.956510002121923	0	0	105532	0	5018503	9764728	0	4014064	301
SRX3411507	0	0	39909	0	0	0	557602	4.708074267747628	0	0	53129	0	6131995	11843526	0	5060670	221
SRX3411508	0	0	30229	0	0	0	384929	3.9526591516008347	0	0	56055	0	6118853	9738482	0	3148180	236
SRX3411509	0	0	33326	0	0	0	453370	4.202683220933009	0	0	55432	0	6371184	10787632	0	3873910	410
SRX3411510	0	0	23999	0	0	0	336984	3.0497548134113046	0	0	38644	0	3407740	11049544	0	7241972	205
SRX3411511	0	0	29091	0	0	0	393403	2.9802507997526124	0	0	55001	0	5798931	13200332	0	6923670	236
SRX3411512	0	0	18364	0	0	0	249162	2.9866235913560737	0	0	34397	0	3979959	8342598	0	4060588	128
SRX3411513	0	0	32796	0	0	0	466297	4.4230303349933475	0	0	45039	0	4749202	10542478	0	5248868	276
SRX3411514	0	0	129443	0	0	0	1293047	14.433103267834952	0	0	169529	0	410034	8958898	0	6953246	3599
SRX3411515	0	0	77859	0	0	0	710780	8.62436322549583	0	0	90275	0	354074	8241536	0	7006610	1938
SRX3411516	0	0	95105	0	0	0	1101257	9.651486490371099	0	0	775294	0	458354	11410232	0	8978726	1496
SRX3411517	0	0	65252	0	0	0	761702	6.967493531050955	0	0	191432	0	1315211	10932224	0	8597762	865
SRX3411518	0	0	104035	0	0	0	910063	15.093081379246293	0	0	147127	0	154915	6029670	0	4710746	2784
SRX3411519	0	0	65841	0	0	0	543413	8.368957792446803	0	0	87184	0	216613	6493198	0	5578838	1309
SRX3411520	0	0	28370	0	0	0	298926	4.326514756343893	0	0	254194	0	1552409	6909164	0	4775010	255
SRX3411521	0	0	155660	0	0	0	1636311	15.593181090476627	0	0	183901	0	850394	10493760	0	7663590	3904
SRX3411522	0	0	115079	0	0	0	759650	9.397068545099001	0	0	89048	0	331860	8083904	0	6787040	1227
SRX3411523	0	0	75456	0	0	0	667706	7.383150556755538	0	0	71001	0	436215	9043646	0	7791476	1792
SRX3411524	0	0	41595	0	0	0	512104	4.113042652746417	0	0	64343	0	3760237	12450734	0	8072034	421
SRX3411525	0	0	50078	0	0	0	503876	5.799867306896312	0	0	48233	0	593169	8687716	0	7491668	692
SRX3541437	0	0	1208620	0	0	0	24027601	29.780738091683855	0	0	1957291	0	3230815	80681684	0	50241992	15365
SRX3541438	0	0	2544740	0	0	0	48724375	75.58455650803401	0	0	4237306	0	1123329	64463400	0	7797830	35820
SRX3541439	0	0	1721507	0	0	0	35033759	53.53724643366806	0	0	2643985	0	2698484	65438104	0	23316656	23713
SRX3541440	0	0	2138698	0	0	0	44594969	72.85178328285737	0	0	3366436	0	1191166	61213284	0	9889974	32041
SRX3541441	0	0	527432	0	0	0	10341652	16.535753414231525	0	0	887524	0	1638388	62541160	0	49139090	7074
SRX3541442	0	0	2265972	0	0	0	46517819	66.487698412982	0	0	6023020	0	1534311	69964550	0	13594940	28488
SRX3541443	0	0	352166	0	0	0	7465739	13.157872103479406	0	0	1094943	0	1665660	56739714	0	46156864	4342
SRX3541444	0	0	407018	0	0	0	8602056	15.078371085166228	0	0	1131933	0	1606384	57048974	0	45296172	5411
SRX3541445	0	0	1134152	0	0	0	23157909	35.25873616346476	0	0	2907229	0	2903686	65679918	0	35562838	14104
SRX3541446	0	0	993748	0	0	0	18883191	25.82068133201262	0	0	2642657	0	1827277	73132040	0	48772602	12565
SRX3541447	0	0	319211	0	0	0	6063806	9.923108504022588	0	0	780901	0	1064982	61107928	0	52875334	3694
SRX3541448	0	0	1251786	0	0	0	23762490	44.21840381813447	0	0	3453519	0	1271715	53738914	0	23985078	14326
SRX3541449	0	0	305427	0	0	0	7140693	9.798118790084343	0	0	1783007	0	2072791	72878204	0	61570986	5300
SRX3541450	0	0	368125	0	0	0	9413317	15.478937859312458	0	0	2685805	0	4025863	60813714	0	44314082	6522
SRX3541451	0	0	1384814	0	0	0	32601214	51.741053352752544	0	0	9110532	0	2507784	63008408	0	17381290	22774
SRX3541452	0	0	154183	0	0	0	3487807	7.793396268490565	0	0	897208	0	1059321	44753364	0	39152360	2485
SRX3541453	0	0	65098	0	0	0	1595603	3.3495143654136963	0	0	432955	0	621498	47636846	0	44920386	1306
SRX5252024	0	0	664076	0	0	0	8071384	58.92315985397154	0	0	4741859	0	105703	13698152	0	108502	6628
SRX5252025	0	0	566363	0	0	0	6557659	54.54141162642496	0	0	4806727	0	23748	12023266	0	62724	6045
SRX5252026	0	0	589747	0	0	0	7073415	78.44678707554937	0	0	1221161	0	18876	9016832	0	103992	9641
SRX5252027	0	0	544637	0	0	0	6726385	59.320319415374655	0	0	3809261	0	27447	11339091	0	226030	5331
SRX5252028	0	0	721806	0	0	0	9460790	62.811812866436654	0	0	4727490	0	56019	15062119	0	88454	7560
SRX5252029	0	0	469812	0	0	0	5583882	56.10777260799643	0	0	3738102	0	86976	9952065	0	68474	4819
SRX5252030	0	0	508236	0	0	0	6073077	53.28566492524571	0	0	4728015	0	23914	11397206	0	58404	5560
SRX5252031	0	0	496441	0	0	0	6972856	70.93896315268907	0	0	2142668	0	32640	9829374	0	180201	4568
SRX5252032	0	0	668547	0	0	0	8369505	61.11244368943842	0	0	4530955	0	47642	13695255	0	71665	6941
SRX5252033	0	0	749895	0	0	0	10117866	64.33626169575668	0	0	4674225	0	46256	15726537	0	130611	7684
SRX5252034	0	0	498967	0	0	0	6508221	60.714788810573495	0	0	3217654	0	38502	10719334	0	450969	5021
SRX5252035	0	0	573021	0	0	0	8348584	68.62154241855276	0	0	3026024	0	27279	12166127	0	185565	5654
SRX5252036	0	0	736835	0	0	0	8784483	79.39225425815162	0	0	1452647	0	22776	11064660	0	56453	11466
SRX5252037	0	0	481312	0	0	0	5818280	55.8415856788294	0	0	4022128	0	35654	10419260	0	56634	5252
SRX5252038	0	0	412011	0	0	0	5561932	60.93967676157208	0	0	2643494	0	20256	9126947	0	484663	4591
SRX5252039	0	0	506083	0	0	0	5992268	78.91765432241846	0	0	993869	0	26303	7593064	0	66588	7953
SRX5252040	0	0	769005	0	0	0	10233209	67.2245739065325	0	0	3834481	0	224190	15222423	0	153466	8072
SRX5252041	0	0	637062	0	0	0	7661425	79.30952061032542	0	0	1281908	0	21680	9660158	0	47795	10288
SRX5252042	0	0	472380	0	0	0	5689060	54.250727070321894	0	0	4246886	0	20788	10486606	0	52210	5282
SRX5252043	0	0	419224	0	0	0	5027592	51.83293470901765	0	0	3490615	0	15160	9699609	0	742449	4569
SRX5252044	0	0	636874	0	0	0	7689952	79.10350176621014	0	0	1262456	0	32650	9721380	0	89382	10066
SRX5252045	0	0	608258	0	0	0	7032923	55.1729502255777	0	0	5010690	0	23336	12747049	0	65471	6371
SRX5252046	0	0	554740	0	0	0	6539055	78.81208207138441	0	0	1138894	0	17692	8297021	0	37697	8943
SRX5252047	0	0	310727	0	0	0	3661007	51.11670447703843	0	0	2678691	0	13340	7162056	0	494970	3321
SRX5252048	0	0	672519	0	0	0	7968505	78.6756803588363	0	0	1364842	0	28105	10128295	0	83922	10402
SRX5252049	0	0	771756	0	0	0	9598111	79.54651386752037	0	0	1582522	0	33488	12066036	0	67053	13106
SRX5252050	0	0	638773	0	0	0	7566580	78.51516235080824	0	0	1343644	0	28938	9637094	0	48781	10378
SRX5252051	0	0	514448	0	0	0	6103745	73.81340656935322	0	0	1114451	0	21923	8269155	0	506468	8120
SRX5252052	0	0	510326	0	0	0	5855925	52.66131917214915	0	0	4638109	0	24623	11119974	0	85393	5598
SRX5252053	0	0	785889	0	0	0	9343191	60.73001273984712	0	0	5078246	0	49052	15384800	0	120726	7696
SRX5252054	0	0	561298	0	0	0	6542861	58.28216202820889	0	0	3960448	0	65833	11226181	0	90268	5473
SRX5252055	0	0	735132	0	0	0	8061648	59.578690354134736	0	0	4598851	0	23610	13531093	0	105199	6653
SRX5252056	0	0	787437	0	0	0	9943506	63.07437386185823	0	0	4844985	0	41256	15764732	0	139895	7653
SRX5252057	0	0	723342	0	0	0	8711134	61.918388540263216	0	0	4442905	0	42218	14068735	0	142406	6730
SRX5252058	0	0	914013	0	0	0	11434487	72.38835502411966	0	0	3238816	0	40465	15796031	0	159960	8290
SRX5252059	0	0	743549	0	0	0	11675381	75.5010633500827	0	0	2793068	0	58214	15463863	0	185417	8234
SRX5252060	0	0	729012	0	0	0	8560843	78.31096049729149	0	0	1505803	0	33146	10931858	0	92168	10886
SRX5252061	0	0	664607	0	0	0	8324374	62.58069099540853	0	0	4112986	0	67585	13301825	0	125672	6601
SRX5329169	0	0	408044	0	0	0	8623407	15.036831610988552	0	0	1134521	0	1610161	57348564	0	45567010	5421
SRX5329170	0	0	2136572	0	0	0	44709535	72.62473627167853	0	0	3378143	0	1193916	61562406	0	10113114	31126
SRX5329171	0	0	2423334	0	0	0	46870377	70.37974997926314	0	0	4064331	0	1260656	66596396	0	11947024	30674
SRX5329172	0	0	2259161	0	0	0	46661094	66.21180253191629	0	0	6050844	0	1538792	70472472	0	13933568	29013
SRX5329173	0	0	317679	0	0	0	6074292	9.871515899429657	0	0	783197	0	1066115	61533528	0	53288498	3747
SRX5329174	0	0	2865279	0	0	0	56638517	79.49950187990926	0	0	4616349	0	144404	71243864	0	6941288	38027
SRX5329175	0	0	1721381	0	0	0	35145870	53.24580804743994	0	0	2655265	0	2706232	66006830	0	23754702	23380
SRX5329176	0	0	519386	0	0	0	10462682	15.485039233263755	0	0	1193810	0	1784472	67566390	0	53600112	5928
SRX5329177	0	0	2542950	0	0	0	48851758	74.96721357462668	0	0	4251303	0	1126049	65164164	0	8356878	35226
SRX5329178	0	0	351492	0	0	0	7488934	13.087551299493978	0	0	1099702	0	1670256	57221812	0	46606926	4502
SRX5329179	0	0	526786	0	0	0	10369214	16.49120780232894	0	0	890849	0	1642401	62877226	0	49441104	6872
SRX5329180	0	0	989219	0	0	0	18946904	25.71500620111145	0	0	2656112	0	1832785	73680340	0	49242630	12690
SRX5329181	0	0	1377150	0	0	0	32657847	51.55680233924813	0	0	9132460	0	2511129	63343430	0	17641692	23152
SRX5329182	0	0	2031901	0	0	0	42116605	76.49880171278132	0	0	4834660	0	507578	55055248	0	5538386	26118
SRX5329183	0	0	2042219	0	0	0	45676261	59.94829718593465	0	0	9542203	0	2083271	76192758	0	16816292	32512
SRX5329184	0	0	1206829	0	0	0	24092674	29.687681561180383	0	0	1964659	0	3238586	81153774	0	50635882	15144
SRX5329185	0	0	153186	0	0	0	3494126	7.763539900778695	0	0	899613	0	1060920	45006866	0	39396438	2583
SRX5329186	0	0	65215	0	0	0	1598452	3.331539507179959	0	0	433633	0	622488	47979380	0	45258290	1302
SRX5329187	0	0	1244443	0	0	0	23804789	43.918422555092974	0	0	3465461	0	1273223	54202286	0	24399880	14490
SRX5329188	0	0	1130814	0	0	0	23216903	35.09119804725441	0	0	2918941	0	2910500	66161614	0	35970112	14344
SRX5329189	0	0	366871	0	0	0	9435369	15.400975778109787	0	0	2693104	0	4033999	61264748	0	44728750	6655
SRX5329190	0	0	303934	0	0	0	7163475	9.732924150996922	0	0	1790287	0	2078981	73600440	0	62258306	5457
SRX5329191	0	0	449975	0	0	0	9395642	12.568196366475709	0	0	1337800	0	1867285	74757282	0	61700792	5788
SRX5329192	0	0	633755	0	0	0	12534295	18.763295594259137	0	0	1812401	0	2838153	66802204	0	48976566	7034
SRX5329193	0	0	1224994	0	0	0	25040439	35.56925001335244	0	0	2584146	0	1768831	70399120	0	39766352	14358
SRX5329194	0	0	948889	0	0	0	18517956	25.43490103055684	0	0	1521821	0	2214896	72805300	0	49588864	12874
SRX6700162	0	0	3869962	0	0	0	61689032	83.13557653681805	0	0	4830683	0	364932	74202928	0	3406460	41859
SRX6700163	0	0	3729355	0	0	0	56017804	82.53242021769375	0	0	5222507	0	135590	67873696	0	2728838	39602
SRX6700164	0	0	4372601	0	0	0	68234509	82.4129698403439	0	0	5598440	0	654175	82795838	0	3891454	44659
SRX6700165	0	0	4112318	0	0	0	68454596	80.93809430673201	0	0	8471648	0	155512	84576486	0	3338362	44050
SRX6700166	0	0	3628822	0	0	0	58241784	79.81915156923975	0	0	6300348	0	620232	72967180	0	4141428	34566
SRX6700167	0	0	3427167	0	0	0	56488770	80.77371550909412	0	0	6211951	0	236099	69934594	0	3535960	34647
SRX6700168	0	0	3908146	0	0	0	65047579	81.88765381289402	0	0	6898412	0	336629	79435148	0	3202220	42162
SRX6700169	0	0	3343311	0	0	0	57042023	81.2882149008611	0	0	6051298	0	643296	70172562	0	3058396	34238
SRX6700170	0	0	3867803	0	0	0	66985338	81.72540573040013	0	0	7531782	0	269256	81963910	0	3267368	42363
SRX6700171	0	0	2944063	0	0	0	65559582	74.053448903235	0	0	15157853	0	740651	88530086	0	4075516	52421
SRX6700172	0	0	2916707	0	0	0	59396997	73.9390406270507	0	0	14076109	0	346724	80332388	0	3544634	51217
SRX6700173	0	0	2432713	0	0	0	50428646	72.08924943026807	0	0	13283319	0	568473	69953074	0	3197144	42779
SRX6700174	0	0	4511310	0	0	0	67467324	82.47230155621762	0	0	5519178	0	711289	81806040	0	3548152	48787
SRX6700175	0	0	3908453	0	0	0	60475496	82.94457392088725	0	0	4760846	0	523015	72910732	0	3200616	42306
SRX6700176	0	0	4961043	0	0	0	67768966	82.29938493234965	0	0	5979141	0	232937	82344438	0	3352858	49493
SRX6700177	0	0	3127787	0	0	0	47915265	81.97530917001207	0	0	4480875	0	158857	58450850	0	2738146	29920
SRX6700178	0	0	2962729	0	0	0	48300995	82.72549048354469	0	0	3946657	0	174929	58387076	0	2970848	30918
SRX6700179	0	0	3352799	0	0	0	55247065	68.61784494588628	0	0	4601602	0	5610600	80514136	0	11669748	32322
SRX6700180	0	0	3089184	0	0	0	55319605	57.63415701244233	0	0	4941913	0	11445156	95984062	0	21157462	30742
SRX6700181	0	0	3318897	0	0	0	56536828	83.79750079718808	0	0	5209182	0	319532	67468394	0	2051134	32821
SRX6700182	0	0	3100329	0	0	0	57500553	65.53179267708977	0	0	5154032	0	8300555	87744514	0	13659434	29611
SRX6700183	0	0	1881718	0	0	0	44078266	73.21875498436184	0	0	11229305	0	673231	60200786	0	2304522	33744
SRX6700184	0	0	2648613	0	0	0	57836811	72.29434917261031	0	0	13932787	0	1909503	80001842	0	3626516	47612
SRX6700185	0	0	2320507	0	0	0	57253600	74.20189635420599	0	0	13103199	0	1382665	77159214	0	3056010	43233
SRX6922015	0	0	916181	0	0	0	14462756	76.50168091781137	0	0	1078476	0	8090	18905148	0	2427200	12445
SRX6922016	0	0	518679	0	0	0	9070476	77.97746526531235	0	0	539216	0	4029	11632176	0	1492164	7612
SRX6922017	0	0	1062874	0	0	0	17246743	80.41973038215679	0	0	1243264	0	4904	21445910	0	1872692	15433
SRX6922018	0	0	821333	0	0	0	13237039	81.75053838348467	0	0	985727	0	5406	16191990	0	1130642	11843
SRX6922019	0	0	1364206	0	0	0	22815635	78.74114242884004	0	0	2420413	0	6680	28975494	0	2355050	13510
SRX6922020	0	0	843834	0	0	0	13610696	76.81623865297055	0	0	1645154	0	4826	17718514	0	1604996	9008
SRX6922021	0	0	1044425	0	0	0	16925139	77.24584340905996	0	0	2002825	0	6900	21910744	0	1920292	11163
SRX6922022	0	0	941219	0	0	0	15492820	77.01672524638877	0	0	1098947	0	7503	20116176	0	2562436	13251
SRX6922023	0	0	862772	0	0	0	14511626	81.76729415516691	0	0	947912	0	6288	17747470	0	1406078	12794
SRX6922024	0	0	975218	0	0	0	15704698	82.0787130395662	0	0	1129946	0	7956	19133704	0	1302216	13670
SRX6922025	0	0	973691	0	0	0	15346355	81.51930601934914	0	0	1137007	0	7988	18825424	0	1346758	13625
SRX6922026	0	0	1174247	0	0	0	18919672	79.31268082514788	0	0	1420389	0	11428	23854536	0	2310378	18422
SRX6922027	0	0	1165557	0	0	0	19020019	79.46631362824192	0	0	1429799	0	10228	23934694	0	2290368	18723
SRX6922028	0	0	980950	0	0	0	15861451	79.67720422694613	0	0	1156497	0	6439	19907138	0	1886598	15203
SRX6922029	0	0	967223	0	0	0	15373944	81.5801843164894	0	0	1138442	0	9445	18845194	0	1342648	13492
SRX7101023	0	0	3532548	0	0	0	61165316	79.82214415748642	0	0	4096756	0	2462914	76627002	0	5323250	46218
SRX7101024	0	0	3512263	0	0	0	60582158	86.1705613386804	0	0	4167365	0	742286	70304936	0	1254858	46006
SRX7101025	0	0	3604570	0	0	0	62191080	86.11007542663	0	0	4243991	0	903645	72222768	0	1232112	47370
SRX7101026	0	0	2912555	0	0	0	55597451	87.2335215383477	0	0	2926006	0	999268	63734044	0	1271018	27746
SRX7101027	0	0	3281156	0	0	0	63057772	87.88948291728241	0	0	3127063	0	910047	71746664	0	1340272	30354
SRX7101028	0	0	3315306	0	0	0	67442571	88.21379294071704	0	0	3451443	0	619807	76453544	0	1591478	32939
SRX7101029	0	0	3911594	0	0	0	69920818	85.6286150632443	0	0	5424313	0	385401	81655902	0	1962386	51390
SRX7101030	0	0	3511264	0	0	0	62318591	86.15022173539057	0	0	4411463	0	361453	72337122	0	1691310	43041
SRX7101031	0	0	3386899	0	0	0	59590676	85.2709700100292	0	0	4488571	0	390090	69883896	0	1985392	42268
SRX7101032	0	0	3620654	0	0	0	63612704	83.23311023900115	0	0	6459302	0	563744	76427162	0	2135118	35640
SRX7101033	0	0	3967613	0	0	0	63952976	84.60011893998325	0	0	4912426	0	321947	75594428	0	2410444	29022
SRX7101034	0	0	3924367	0	0	0	64122414	79.92614314637187	0	0	5044214	0	2341222	80227084	0	4765110	29757
SRX7101035	0	0	2855067	0	0	0	42154006	61.73054621875197	0	0	12624770	0	542014	68287110	0	10076612	34641
SRX7101036	0	0	2024321	0	0	0	30566091	38.6180824520264	0	0	36134431	0	562382	79149686	0	9838433	24028
SRX7101037	0	0	1655420	0	0	0	27206699	38.16543391339393	0	0	31148555	0	82917	71286230	0	11170552	22087
SRX7101038	0	0	2055534	0	0	0	32214415	40.36362908730984	0	0	37311141	0	173734	79810502	0	8029365	26313
SRX7101039	0	0	1854938	0	0	0	32020682	39.573855749175216	0	0	37306203	0	193755	80913728	0	9518792	19358
SRX7101040	0	0	1973500	0	0	0	33283512	40.1104081563814	0	0	38998256	0	205614	82979739	0	8498145	20712
SRX7101041	0	0	1509753	0	0	0	26510459	38.07953889363977	0	0	31276009	0	861887	69618645	0	9444515	16022
SRX7551986	0	0	647341	0	0	0	11018536	81.5880113959979	0	0	840918	0	7681	13505092	0	979324	11292
SRX7551987	0	0	636045	0	0	0	10529610	82.03811415360254	0	0	707198	0	12685	12835022	0	938602	10882
SRX7551988	0	0	421604	0	0	0	6981791	81.92665291559425	0	0	541930	0	62357	8522002	0	507886	6434
SRX7551989	0	0	582274	0	0	0	9484033	81.87198732594278	0	0	760735	0	38311	11583978	0	709464	9161
SRX7551990	0	0	576213	0	0	0	9925061	82.32500134788216	0	0	788591	0	30751	12055950	0	725964	9370
SRX7551991	0	0	539973	0	0	0	8739588	82.93613844041583	0	0	656998	0	12043	10537732	0	580922	8208
SRX8694706	0	0	244426	0	0	0	6596554	86.11812963371537	0	0	474404	0	34520	7659890	0	306500	3486
SRX8694707	0	0	275928	0	0	0	7577579	86.29000244376661	0	0	505332	0	31854	8781526	0	386484	4349
SRX8694708	0	0	293615	0	0	0	7512899	85.81409809918019	0	0	535250	0	55385	8754854	0	353384	4321
SRX8694709	0	0	275221	0	0	0	7374490	86.90505399327762	0	0	494156	0	66200	8485686	0	271676	3943
SRX8694710	0	0	424252	0	0	0	9287092	87.3614853958103	0	0	479714	0	70425	10630648	0	363540	5625
SRX8694711	0	0	326602	0	0	0	7256928	87.05937227374416	0	0	390899	0	112559	8335608	0	244094	4526
SRX8694712	0	0	383245	0	0	0	8613101	86.89004669188161	0	0	387757	0	37503	9912644	0	484722	6316
SRX8694713	0	0	273591	0	0	0	6784710	87.6916729804785	0	0	310937	0	42754	7737006	0	319630	5384
SRX8694714	0	0	319308	0	0	0	7318381	87.51044199440719	0	0	362716	0	37566	8362866	0	319450	5445
SRX8694715	0	0	369360	0	0	0	7610183	85.8512334303207	0	0	469629	0	59966	8864384	0	349736	5510
SRX8694716	0	0	338665	0	0	0	7009862	84.88295608716017	0	0	414571	0	167626	8258268	0	322714	4830
SRX8694717	0	0	412415	0	0	0	8475477	85.50252377139032	0	0	511707	0	95150	9912546	0	411714	6083
SRX8694718	0	0	284429	0	0	0	7472103	87.75786445026304	0	0	352964	0	40973	8514454	0	358632	5353
SRX8694719	0	0	328018	0	0	0	6817792	82.22600225193716	0	0	395747	0	387303	8291528	0	357726	4942
SRX8694720	0	0	280615	0	0	0	6556875	87.46091728336437	0	0	293849	0	72754	7496920	0	288162	4665
SRX8694721	0	0	356410	0	0	0	7191146	86.13009104619765	0	0	420480	0	51568	8349168	0	325304	4260
SRX8694722	0	0	371905	0	0	0	8166369	86.90760816932915	0	0	405565	0	48464	9396610	0	399578	4729
SRX8694723	0	0	277189	0	0	0	7685466	89.27807976759601	0	0	334338	0	21339	8608458	0	284540	5586
SRX8694724	0	0	291827	0	0	0	7384755	87.55321835441913	0	0	354212	0	43588	8434590	0	355230	4978
SRX8694725	0	0	290079	0	0	0	7700424	87.79025622854672	0	0	333532	0	103887	8771388	0	338336	5130
SRX8694726	0	0	306930	0	0	0	9347514	89.53269320067861	0	0	351036	0	51394	10440336	0	377208	6254
SRX8694727	0	0	312498	0	0	0	9662157	89.41351719410099	0	0	406272	0	48296	10806148	0	370138	6787
SRX8694728	0	0	317417	0	0	0	9400302	89.67039747129971	0	0	372897	0	53952	10483172	0	331988	6616
SRX8694729	0	0	743734	0	0	0	22575878	89.99207462749513	0	0	972141	0	83497	25086518	0	696222	15046
